Date,Name,Status,Project,Count
7/10/2017,Holden Karau's magical unicorn,Open,Apache Airflow,468
7/25/2018,Beam JIRA Bot,Open,Beam,454
8/13/2018,Lin Yuan,To Do,Apache MXNet,153
9/23/2018,Holden Karau's magical unicorn,Open,Apache Airflow,108
6/6/2013,Shazron Abdullah,Closed,Apache Cordova,108
7/25/2018,Denis Davydenko,To Do,Apache MXNet,97
8/6/2018,Hudson,Closed,Maven POMs,91
8/10/2018,Roberto Cortez,Open,TomEE,88
7/23/2018,Hudson,Open,Maven Project Web Site,84
11/13/2017,Chen Qingcha,Open,Hadoop YARN,83
8/15/2018,Hive QA,Patch Available,Hive,81
9/21/2018,Holden Karau's magical unicorn,Open,Apache Airflow,80
7/5/2018,Hive QA,Patch Available,Hive,74
4/18/2013,Shazron Abdullah,Closed,Apache Cordova,72
9/11/2018,Hive QA,Patch Available,Hive,68
7/12/2018,Hive QA,Patch Available,Hive,67
7/12/2018,Duo Zhang,Patch Available,HBase,66
5/10/2012,Shazron Abdullah,Closed,Apache Cordova,65
9/10/2018,Lin Yuan,To Do,Apache MXNet,65
7/8/2018,Anirudh Acharya,To Do,Apache MXNet,64
7/18/2018,Hive QA,Patch Available,Hive,63
7/4/2018,Duo Zhang,Patch Available,HBase,61
9/5/2018,Hive QA,Patch Available,Hive,61
9/13/2018,Hive QA,Patch Available,Hive,60
7/25/2018,Andy LoPresto,Open,Apache NiFi,58
9/12/2018,Benedict,Open,Cassandra,58
7/26/2018,Josh Elser,Open,HBase,58
8/13/2018,Hive QA,Patch Available,Hive,57
7/3/2018,Hive QA,Patch Available,Hive,54
8/3/2018,Hive QA,Patch Available,Hive,54
8/27/2018,Beam JIRA Bot,Open,Beam,53
8/15/2018,Ajay Kumar,Patch Available,Hadoop Distributed Data Store,52
7/12/2018,Jean-Baptiste Onofré,Resolved,Karaf,52
7/6/2018,Dan Smith,Open,Geode,51
6/27/2018,Antal Bálint Steinbach,Patch Available,Hadoop YARN,51
7/29/2017,Hudson,In Progress,HBase,51
7/22/2015,Pierre Smits,Closed,Apache Trafodion,50
7/22/2015,Pierre Smits,Resolved,Apache Trafodion,50
7/26/2018,Hive QA,Patch Available,Hive,50
7/19/2018,Marcus Christie,Open,Airavata,49
9/4/2018,Vandana Kannan,To Do,Apache MXNet,48
11/28/2011,Shazron Abdullah,Closed,Apache Cordova,47
9/19/2018,Hive QA,Patch Available,Hive,47
8/14/2018,Lars Hofhansl,Open,Phoenix,47
4/9/2013,Shazron Abdullah,Closed,Apache Cordova,46
5/15/2018,Chandni Singh,Patch Available,Hadoop YARN,46
8/9/2018,Hive QA,Patch Available,Hive,46
7/30/2013,Shazron Abdullah,Closed,Apache Cordova,45
2/26/2013,Shazron Abdullah,Closed,Apache Cordova,44
7/5/2018,Steve Loughran,Open,Hadoop Common,44
7/25/2018,Hive QA,Patch Available,Hive,44
8/31/2012,Shazron Abdullah,Closed,Apache Cordova,43
3/21/2013,Shazron Abdullah,Closed,Apache Cordova,43
4/1/2013,Shazron Abdullah,Closed,Apache Cordova,43
7/11/2018,ROSHANI NAGMOTE,To Do,Apache MXNet,43
4/27/2018,Steve Loughran,Open,Hadoop Common,43
5/14/2018,Sergey Shelukhin,Patch Available,Hive,43
7/4/2018,Hive QA,Patch Available,Hive,43
8/2/2018,Hive QA,Patch Available,Hive,43
8/15/2018,Igor Dvorzhak,Patch Available,Hive,43
7/10/2018,kalyan kumar kalvagadda,Patch Available,Sentry,43
9/11/2018,Holden Karau's magical unicorn,Open,Apache Airflow,42
4/25/2013,Shazron Abdullah,Closed,Apache Cordova,42
7/24/2018,Lin Yuan,To Do,Apache MXNet,42
7/16/2018,Hive QA,Patch Available,Hive,42
9/6/2018,Hive QA,Patch Available,Hive,42
11/8/2016,Vladimir Ozerov,Resolved,Ignite,42
10/24/2012,Shazron Abdullah,Closed,Apache Cordova,41
3/8/2018,Matt McCline,In Progress,Hive,41
7/23/2018,Hive QA,Patch Available,Hive,41
9/7/2018,Hive QA,Patch Available,Hive,41
7/26/2018,Josh Elser,Open,Ratis,41
8/10/2018,Roberto Cortez,Resolved,TomEE,41
11/21/2012,Shazron Abdullah,Closed,Apache Cordova,40
7/2/2017,Rick Hillegas,Open,Derby,40
8/27/2018,Raymond Augé,Resolved,Geronimo,40
7/13/2018,Hive QA,Patch Available,Hive,40
7/10/2018,Hadoop QA,Patch Available,Sentry,40
8/8/2018,Cao Manh Dat,Open,Solr,40
7/27/2018,Hari Sekhon,Open,Ambari,39
7/30/2018,Hari Sekhon,Open,Ambari,39
9/12/2012,Shazron Abdullah,Closed,Apache Cordova,39
7/2/2018,Anirudh Acharya,In Progress,Apache MXNet,39
8/6/2018,Beam JIRA Bot,Open,Beam,39
7/10/2018,genericqa,Patch Available,Hadoop Distributed Data Store,39
9/18/2018,BELUGA BEHR,Open,Hadoop YARN,39
7/6/2018,Hive QA,Patch Available,Hive,39
7/23/2018,Lu Li,In Progress,Hive,39
8/24/2018,Ryabov Dmitrii,In Progress,Ignite,39
7/26/2018,Apache Spark,Open,Spark,39
8/23/2018,yucai,Open,Spark,39
8/31/2018,Vandana Kannan,To Do,Apache MXNet,38
8/2/2018,Vladimir Sitnikov,Open,Calcite,38
7/25/2018,Hadoop QA,Patch Available,HBase,38
6/21/2018,Marcel Reutegger,Open,Jackrabbit Oak,38
7/8/2013,Shazron Abdullah,Closed,Apache Cordova,37
6/19/2018,Shashikant Banerjee,Patch Available,Hadoop Distributed Data Store,37
9/13/2018,"Elek, Marton",Patch Available,Hadoop Distributed Data Store,37
10/31/2012,Shazron Abdullah,Closed,Apache Cordova,36
12/3/2013,Shazron Abdullah,Closed,Apache Cordova,36
5/29/2014,Shazron Abdullah,Closed,Apache Cordova,36
8/6/2018,Anirudh Acharya,To Do,Apache MXNet,36
8/15/2018,Anirudh Acharya,To Do,Apache MXNet,36
9/3/2018,Isaac Kamga,Open,Fineract Cloud Native,36
6/14/2018,Zach York,Patch Available,HBase,36
8/2/2018,Jack Bearden,Patch Available,HBase,36
6/6/2018,Sergey Shelukhin,Patch Available,Hive,36
6/28/2018,Hive QA,Patch Available,Hive,36
1/14/2018,Hadoop QA,Patch Available,Oozie,36
8/30/2018,Apache Spark,Open,Spark,36
9/20/2018,Apache Spark,In Progress,Spark,36
10/12/2012,Shazron Abdullah,Closed,Apache Cordova,35
12/10/2012,Shazron Abdullah,Closed,Apache Cordova,35
7/19/2018,genericqa,Patch Available,Hadoop Distributed Data Store,35
8/6/2018,Virajith Jalaparti,Open,Hadoop HDFS,35
6/16/2018,mahesh kumar behera,Patch Available,Hive,35
8/14/2018,Hive QA,Patch Available,Hive,35
9/12/2018,Hive QA,Patch Available,Hive,35
8/2/2018,Hadoop QA,Patch Available,Oozie,35
8/2/2018,Julian Hyde,Open,Calcite,34
8/29/2018,Till Rohrmann,Open,Flink,34
4/27/2018,Steve Loughran,Patch Available,Hadoop Common,34
6/27/2018,"Elek, Marton",Patch Available,Hadoop Distributed Data Store,34
9/13/2018,"Elek, Marton",Open,Hadoop Distributed Data Store,34
10/13/2017,liubangchen,Patch Available,HBase,34
6/27/2018,Hive QA,Patch Available,Hive,34
7/17/2018,Hive QA,Patch Available,Hive,34
7/27/2018,Hive QA,Patch Available,Hive,34
7/12/2018,Jean-Baptiste Onofré,Open,Karaf,34
6/26/2018,Andras Piros,Patch Available,Oozie,34
1/18/2013,Shazron Abdullah,Closed,Apache Cordova,33
7/15/2013,Shazron Abdullah,Closed,Apache Cordova,33
7/4/2018,Chesnay Schepler,Open,Flink,33
8/7/2018,Chesnay Schepler,Open,Flink,33
6/15/2018,Steve Loughran,Open,Hadoop Common,33
7/12/2018,Hadoop QA,Patch Available,HBase,33
7/13/2018,Reid Chan,Patch Available,HBase,33
7/25/2018,Krish Dey,Patch Available,HBase,33
8/2/2018,Reid Chan,Patch Available,HBase,33
8/23/2018,ramkrishna.s.vasudevan,Open,HBase,33
3/8/2018,Matt McCline,Patch Available,Hive,33
8/16/2018,Ryan Schmitt,Open,HttpComponents HttpClient,33
8/17/2018,Yu Yang,Open,Kafka,33
9/24/2018,Karl Wright,Open,Solr,33
8/2/2018,Apache Spark,Open,Spark,33
8/9/2018,Apache Spark,Open,Spark,33
